ID,Date,Element,Data_Value
UKM00003257,2007-06-09,TMIN,0
NLE00113706,2010-06-15,TMIN,114
UKM00003740,2015-05-21,TMIN,57
NLE00113724,2005-07-22,TMAX,148
NLE00113736,2008-08-29,TMAX,191
NLE00113676,2011-02-28,TMAX,38
UKM00003772,2010-04-28,TMAX,214
UK000003377,2008-10-30,TMAX,66
UKM00003772,2012-07-21,TMAX,207
UKM00003257,2015-10-17,TMIN,63
NLE00113736,2012-06-25,TMIN,135
UK000000000,2006-10-13,TMAX,173
UK000003377,2008-08-13,TMAX,183
UKW00035047,2014-08-01,TMAX,227
UK000000000,2014-04-09,TMIN,47
NLE00113706,2014-05-20,TMAX,157
NLE00113670,2013-09-12,TMIN,136
NLE00113676,2011-03-20,TMAX,74
NLE00113724,2014-03-28,TMAX,95
NLE00113676,2010-11-05,TMIN,90
UKM00003772,2011-12-18,TMAX,60
NLE00113676,2010-11-05,TMAX,151
UKM00003740,2013-11-06,TMAX,138
NLE00113670,2013-01-17,TMAX,27
UK000000000,2014-07-10,TMIN,105
UKM00003590,2005-09-06,TMIN,139
NLE00113724,2006-11-12,TMIN,86
UK000000000,2007-08-07,TMAX,186
UK000003377,2008-05-13,TMAX,165
UKM00003740,2015-08-18,TMAX,199
NLE00113736,2015-05-10,TMIN,93
UK000003377,2013-05-04,TMAX,161
UKW00035047,2009-12-24,TMIN,20
NLE00113706,2014-03-20,TMAX,101
UK000003377,2005-10-10,TMIN,76
UK000003377,2010-04-08,TMAX,149
UKM00003772,2005-09-21,TMIN,140
UKM00003257,2013-07-11,TMIN,114
NLE00113706,2010-09-02,TMAX,157
UKM00003740,2013-12-19,TMAX,72
UK000003377,2014-05-23,TMAX,159
UKM00003590,2010-10-02,TMIN,90
NLE00113724,2009-11-17,TMAX,128
UKM00003257,2007-06-09,TMAX,215
UKM00003740,2010-09-01,TMAX,207
UK000003377,2013-07-11,TMAX,201
UK000000000,2008-07-23,TMAX,239
UK000000000,2008-07-23,TMIN,139
NLE00113724,2010-01-12,TMIN,-4
NLE00113676,2014-04-25,TMIN,96
UKM00003257,2006-10-13,TMIN,10
UKM00003257,2006-10-13,TMAX,140
UK000003377,2008-08-13,TMIN,109
NLE00113724,2006-12-17,TMIN,75
UKM00003772,2015-12-03,TMAX,131
NLE00113724,2005-09-25,TMIN,142
NLE00113676,2010-06-19,TMAX,119
UKM00003590,2005-12-25,TMAX,58
UKM00003257,2012-05-22,TMAX,210
NLE00113724,2006-05-14,TMAX,102
UKM00003772,2013-06-27,TMAX,207
NLE00113676,2012-02-25,TMAX,76
UKM00003740,2013-12-18,TMAX,95
UKM00003257,2008-03-02,TMIN,-76
NLE00113724,2010-10-31,TMAX,132
UK000003377,2007-05-01,TMAX,186
UKM00003257,2013-07-11,TMAX,201
